Time, roll, rollrate, rollDesired, rollError, pitch, pitchRate, pitchDesired, pitchError, yaw, yawRate, yawDesired, yawError, throttle
4.623599,-0.317581087242,0.365853349513,0,0.317581087242,1.27637087937,-0.853657815531,0,-1.27637087937,-4.77641907885,1.2804867233,-0.0,4.77641907885,1.0
4.72234,-0.243201124363,0.609755582522,0,0.243201124363,1.13673460426,-0.731706699026,0,-1.13673460426,-4.91063951768,1.34146228155,-0.0,4.91063951768,1.0
4.82116,-0.271415027699,0.487804466018,0,0.271415027699,1.1475669547,-0.731706699026,0,-1.1475669547,-5.0420452431,1.4024378398,-0.0,5.0420452431,1.0
4.921157,-0.36958975993,0.365853349513,0,0.36958975993,1.07450114086,-0.853657815531,0,-1.07450114086,-5.17210160489,1.2804867233,-0.0,5.17210160489,1.0
5.020587,-0.384670010488,0.426828907765,0,0.384670010488,1.05295534775,-0.731706699026,0,-1.05295534775,-5.29753505904,1.21951116504,-0.0,5.29753505904,1.0
5.119207,-0.31029923717,0.426828907765,0,0.31029923717,1.07790134977,-0.670731140774,0,-1.07790134977,-5.42498285583,1.21951116504,-0.0,5.42498285583,1.0
5.217771,-0.394033799041,0.365853349513,0,0.394033799041,1.11691550168,-0.731706699026,0,-1.11691550168,-5.55727672581,1.4024378398,-0.0,5.55727672581,1.0
5.316461,-0.283043512322,0.426828907765,0,0.283043512322,1.15718265804,-0.853657815531,0,-1.15718265804,-5.68591363969,1.2804867233,-0.0,5.68591363969,1.0
5.414871,-0.364622350739,0.182926674757,0,0.364622350739,1.11730301974,-0.731706699026,0,-1.11730301974,-5.81505020473,1.21951116504,-0.0,5.81505020473,1.0
5.513815,-0.400216834419,0.54878002427,0,0.400216834419,1.09619440528,-0.853657815531,0,-1.09619440528,-5.94832456023,1.46341339805,-0.0,5.94832456023,1.0
5.612318,-0.397846013895,0.426828907765,0,0.397846013895,1.09363087879,-0.914633373783,0,-1.09363087879,-6.0764604176,1.2804867233,-0.0,6.0764604176,1.0
5.710073,-0.466921408138,0.365853349513,0,0.466921408138,1.21715226966,-0.792682257279,0,-1.21715226966,-6.20021372649,1.15853560679,-0.0,6.20021372649,1.0
5.808877,-0.427568058662,0.365853349513,0,0.427568058662,1.18897000377,-0.731706699026,0,-1.18897000377,-6.32628496084,1.15853560679,-0.0,6.32628496084,1.0
5.908357,-0.432332105597,0.487804466018,0,0.432332105597,1.18237254716,-0.731706699026,0,-1.18237254716,-6.46312101425,1.34146228155,-0.0,6.46312101425,1.0
6.006217,-0.403921417457,0.304877791261,0,0.403921417457,1.08053837299,-0.609755582522,0,-1.08053837299,-6.59150832207,1.03658449029,-0.0,6.59150832207,1.0
6.100509,-0.366023470532,0.54878002427,0,0.366023470532,1.13768997364,-0.792682257279,0,-1.13768997364,-6.71513562553,1.21951116504,-0.0,6.71513562553,1.0
6.198653,-0.337028373236,0.426828907765,0,0.337028373236,1.11000719829,-0.853657815531,0,-1.11000719829,-6.84610603428,1.15853560679,-0.0,6.84610603428,1.0
6.297315,-0.339154068971,0.365853349513,0,0.339154068971,1.16833501848,-0.914633373783,0,-1.16833501848,-6.9700684848,1.03658449029,-0.0,6.9700684848,1.0
6.396158,-0.350956962198,0.365853349513,0,0.350956962198,1.23721178384,-0.731706699026,0,-1.23721178384,-7.09863226307,1.4024378398,-0.0,7.09863226307,1.0
6.494858,-0.35878166922,0.487804466018,0,0.35878166922,1.18137230962,-0.731706699026,0,-1.18137230962,-7.22972346308,1.34146228155,-0.0,7.22972346308,1.0
6.593584,-0.323394646885,0.243902233009,0,0.323394646885,1.0781928542,-0.914633373783,0,-1.0781928542,-7.36030260092,1.4024378398,-0.0,7.36030260092,1.0
6.692262,-0.324534397884,0.365853349513,0,0.324534397884,1.09114050762,-0.914633373783,0,-1.09114050762,-7.49037869067,1.15853560679,-0.0,7.49037869067,1.0
6.793918,-0.257227847948,0.304877791261,0,0.257227847948,1.13322522574,-0.975608932035,0,-1.13322522574,-7.62276521639,1.2804867233,-0.0,7.62276521639,1.0
